baseline_id,tool,finding_no,rule_or_id,severity,source_file,line,message_summary,classification,decision,gate_status,planned_action,notes
PH14-RUFF-001,Ruff,1,F541,error,common/comparison/compare_results.py,21,f-string without any placeholders,fix_candidate,no_fix_in_phase14,not_gated,remove_extraneous_f_prefix_later,Safe Ruff fix is available but source cleanup is deferred to a later phase
PH14-RUFF-002,Ruff,2,E402,error,implementations/python_sils/scripts/run_fan_control_sils.py,10,Module level import not at top of file,needs_investigation,no_fix_in_phase14,not_gated,review_script_import_bootstrap_later,Script import order may be related to local path bootstrap so review before changing
PH14-RUFF-003,Ruff,3,E402,error,implementations/python_sils/scripts/run_fan_control_sils.py,11,Module level import not at top of file,needs_investigation,no_fix_in_phase14,not_gated,review_script_import_bootstrap_later,Script import order may be related to local path bootstrap so review before changing
PH14-RUFF-004,Ruff,4,F541,error,implementations/python_sils/tools/compare_results.py,21,f-string without any placeholders,fix_candidate,no_fix_in_phase14,not_gated,remove_extraneous_f_prefix_later,Safe Ruff fix is available but source cleanup is deferred to a later phase
PH14-CPPCHECK-001,Cppcheck,1,unusedStructMember,style,implementations/cpp_sils/include/fan_control.hpp,12,struct member FanControlThresholds::lowOnC is never used,needs_investigation,no_fix_in_phase14,not_gated,review_threshold_struct_usage_later,Check whether this threshold member is future design intent or unused configuration
PH14-CPPCHECK-002,Cppcheck,2,unusedStructMember,style,implementations/cpp_sils/include/fan_control.hpp,13,struct member FanControlThresholds::offC is never used,needs_investigation,no_fix_in_phase14,not_gated,review_threshold_struct_usage_later,Check whether this threshold member is future design intent or unused configuration
PH14-CPPCHECK-003,Cppcheck,3,unusedStructMember,style,implementations/cpp_sils/include/fan_control.hpp,14,struct member FanControlThresholds::highOnC is never used,needs_investigation,no_fix_in_phase14,not_gated,review_threshold_struct_usage_later,Check whether this threshold member is future design intent or unused configuration
PH14-CPPCHECK-004,Cppcheck,4,unusedStructMember,style,implementations/cpp_sils/include/fan_control.hpp,15,struct member FanControlThresholds::highOffC is never used,needs_investigation,no_fix_in_phase14,not_gated,review_threshold_struct_usage_later,Check whether this threshold member is future design intent or unused configuration
PH14-CPPCHECK-005,Cppcheck,5,useStlAlgorithm,style,implementations/cpp_sils/scenarios/run_scenario.cpp,119,Consider using std::transform algorithm instead of a raw loop,acceptable_for_poc,no_fix_in_phase14,not_gated,review_cpp_style_refactor_later,Raw loop is acceptable for current PoC readability and may be refactored later
PH14-CPPCHECK-006,Cppcheck,6,useStlAlgorithm,style,implementations/cpp_sils/scenarios/run_scenario.cpp,163,Consider using std::any_of algorithm instead of a raw loop,acceptable_for_poc,no_fix_in_phase14,not_gated,review_cpp_style_refactor_later,Raw loop is acceptable for current PoC readability and may be refactored later
